徐悲鸿	xubeihong,xbh
徐步	xubu,xb
徐陈	xuchen,xc
徐杜	xudu,xd
徐方	xufang,xf
徐妃	xufei,xf
徐冯	xufeng,xf
徐夫人	xufuren,xfr
徐巿	xufu,xf
徐福	xufu,xf
徐福岛	xufudao,xfd
徐顾	xugu,xg
徐关	xuguan,xg
徐光启	xuguangqi,xgq
徐呼	xuhu,xh
徐缓	xuhuan,xh
徐缓地吹	xuhuandechui,xhdc
徐缓地移动	xuhuandeyidong,xhdyd
徐回	xuhui,xh
徐汇区	xuhuiqu,xhq
徐疾	xuji,xj
徐继畲	xujiyu,xjy
徐家肺	xujiafei,xjf
徐家汇	xujiahui,xjh
徐甲	xujia,xj
徐俊	xujun,xj
徐克	xuke,xk
徐匡迪	xukuangdi,xkd
徐来	xulai,xl
徐刘	xuliu,xl
徐卢	xulu,xl
徐娘	xuniang,xn
徐娘半老	xuniangbanlao,xnbl
徐趋	xuqu,xq
徐戎	xurong,xr
徐孺子	xuruzi,xrz
徐氏	xushi,xs
徐世昌	xushichang,xsc
徐水	xushui,xs
徐水县	xushuixian,xsx
徐榻	xuta,xt
徐图	xutu,xt
徐婉	xuwan,xw
徐渭	xuwei,xw
徐闻	xuwen,xw
徐闻县	xuwenxian,xwx
徐吾	xuwu,xw
徐熙媛	xuxiyuan,xxy
徐霞客	xuxiake,xxk
徐霞客游记	xuxiakeyouji,xxkyj
徐详	xuxiang,xx
徐星	xuxing,xx
徐行	xuxing,xx
徐徐	xu,x
徐徐地	xude,xd
徐徐地吹	xudechui,xdc
徐铉	xuxuan,xx
徐言	xuyan,xy
徐衍	xuyan,xy
徐偃	xuyan,xy
徐偃笔	xuyanbi,xyb
徐偃王	xuyanwang,xyw
徐夷	xuyi,xy
徐庾	xuyu,xy
徐庾体	xuyuti,xyt
徐宅	xuzhai,xz
徐祯卿	xuzhenqing,xzq
徐志摩	xuzhimo,xzm
徐稺榻	xuzhita,xzt
徐州	xuzhou,xz
徐州地区	xuzhoudiqu,xzdq
徐州会战	xuzhouhuizhan,xzhz
徐州市	xuzhoushi,xzs
徐妆	xuzhuang,xz
