猴巴崽子	houbazaizi,hbzz
猴查	houzha,hz
猴池	houchi,hc
猴刺脱	houcituo,hct
猴痘病毒	houdoubingdu,hdbd
猴儿	houer,he
猴儿急	houerji,hej
猴儿精	houerjing,hej
猴儿崽子	houerzaizi,hezz
猴冠	houguan,hg
猴孩子	houhaizi,hhz
猴急	houji,hj
猴姜	houjiang,hj
猴精	houjing,hj
猴玃	houjue,hj
猴葵	houkui,hk
猴郎达树	houlangdashu,hlds
猴栗	houli,hl
猴梅	houmei,hm
猴面包	houmianbao,hmb
猴面包树	houmianbaoshu,hmbs
猴年	hounian,hn
猴年马月	hounianmayue,hnmy
猴皮筋	houpijin,hpj
猴皮筋儿	houpijiner,hpje
猴拳	houquan,hq
猴瘦	houshou,hs
猴蒜	housuan,hs
猴孙王	housunwang,hsw
猴狲	housun,hs
猴头	houtou,ht
猴头菇	houtougu,htg
猴头猴脑	houtounao,htn
猴头菌	houtoujun,htj
猴王	houwang,hw
猴戏	houxi,hx
猴猨	houyuan,hy
猴猿	houyuan,hy
猴枣	houzao,hz
猴楂	houzha,hz
猴子	houzi,hz
猴子称大王	houzichengdawang,hzcdw
猴子似地	houzishide,hzsd
猴子跳	houzitiao,hzt
猴子偷桃	houzitoutao,hztt
