甩包袱	shuaibaofu,sbf
甩笔头子	shuaibitouzi,sbtz
甩车	shuaiche,sc
甩掉	shuaidiao,sd
甩动	shuaidong,sd
甩发	shuaifa,sf
甩锅	shuaiguo,sg
甩开	shuaikai,sk
甩开膀子	shuaikaibangzi,skbz
甩脸子	shuailianzi,slz
甩卖	shuaimai,sm
甩上	shuaishang,ss
甩手	shuaishou,ss
甩手顿脚	shuaishoudunjiao,ssdj
甩手掌柜	shuaishouzhanggui,sszg
甩头	shuaitou,st
甩脱	shuaituo,st
甩尾	shuaiwei,sw
甩闲话	shuaixianhua,sxh
甩袖子	shuaixiuzi,sxz
甩远	shuaiyuan,sy
甩钟	shuaizhong,sz
