剡摲	yanchan,yc
剡楮	shanchu,sc
剡牍	yandu,yd
剡锋	yanfeng,yf
剡荐	yanjian,yj
剡客	shanke,sk
剡利	yanli,yl
剡麻	yanma,ym
剡锐	yanrui,yr
剡剡	yan,y
剡耜	yansi,ys
剡藤	yanteng,yt
剡溪	shanxi,sx
剡溪船	shanxichuan,sxc
剡溪藤	shanxiteng,sxt
剡溪兴	shanxixing,sxx
剡移	yanyi,yy
剡章	yanzhang,yz
剡纸	shanzhi,sz
剡中	shanzhong,sz
剡注	yanzhu,yz
剡硾	yanzhui,yz
剡奏	yanzou,yz
