摹版	moban,mb
摹本	moben,mb
摹揣	mochuai,mc
摹打	moda,md
摹调	modiao,md
摹仿	mofang,mf
摹放	mofang,mf
摹姑	mogu,mg
摹画	mohua,mh
摹绘	mohui,mh
摹楷	mokai,mk
摹刻	moke,mk
摹泐	mole,ml
摹勒	mole,ml
摹临	molin,ml
摹録	molu,ml
摹略	molue,ml
摹拟	moni,mn
摹儗	moni,mn
摹窃	moqie,mq
摹神	moshen,ms
摹索	mosuo,ms
摹拓	motuo,mt
摹搨	mota,mt
摹帖	motie,mt
摹习	moxi,mx
摹袭	moxi,mx
摹想	moxiang,mx
摹肖	moxiao,mx
摹效	moxiao,mx
摹写	moxie,mx
摹印	moyin,my
摹桩	mozhuang,mz
摹状	mozhuang,mz
摹捉	mozhuo,mz
摹字	mozi,mz
