殒毙	yunbi,yb
殒颠	yundian,yd
殒骨	yungu,yg
殒获	yunhuo,yh
殒绝	yunjue,yj
殒溃	yunkui,yk
殒裂	yunlie,yl
殒落	yunluo,yl
殒没	yunmei,ym
殒灭	yunmie,ym
殒命	yunming,ym
殒殁	yunmo,ym
殒泣	yunqi,yq
殒身	yunshen,ys
殒身不恤	yunshenbuxu,ysbx
殒身碎首	yunshensuishou,ysss
殒逝	yunshi,ys
殒碎	yunsui,ys
殒涕	yunti,yt
殒亡	yunwang,yw
殒谢	yunxie,yx
殒越	yunyue,yy
殒阵	yunzhen,yz
殒坠	yunzhui,yz
殒胔	yunzi,yz
