畔岸	panan,pa
畔臣	panchen,pc
畔道	pandao,pd
畔道离经	pandaolijing,pdlj
畔等	pandeng,pd
畔废	panfei,pf
畔宫	pangong,pg
畔换	panhuan,ph
畔涣	panhuan,ph
畔际	panji,pj
畔界	panjie,pj
畔牢	panlao,pl
畔牢愁	panlaochou,plc
畔离	panli,pl
畔戾	panli,pl
畔虑	panlu,pl
畔乱	panluan,pl
畔盟	panmeng,pm
畔逆	panni,pn
畔朋	panpeng,pp
畔散	pansan,ps
畔弑	panshi,ps
畔亡	panwang,pw
畔心	panxin,px
畔衅	panxin,px
畔涯	panya,py
畔喭	panyan,py
畔援	panyuan,py
畔约	panyue,py
畔志	panzhi,pz
