簿案	buan,ba
簿册	buce,bc
簿钞	buchao,bc
簿牒	budie,bd
簿对	budui,bd
簿伐	bufa,bf
簿阀	bufa,bf
簿籍	buji,bj
簿记	buji,bj
簿记管理员	bujiguanliyuan,bjgly
簿决	bujue,bj
簿历	buli,bl
簿吏	buli,bl
簿列	bulie,bl
簿领	buling,bl
簿领书	bulingshu,bls
簿录	bulu,bl
簿録	bulu,bl
簿扇	bushan,bs
簿书	bushu,bs
簿讼	busong,bs
簿厅	buting,bt
簿听	buting,bt
簿土	butu,bt
簿尉	buwei,bw
簿问	buwen,bw
簿伍	buwu,bw
簿圆	buyuan,by
簿责	buze,bz
簿帐	buzhang,bz
簿正	buzheng,bz
簿状	buzhuang,bz
簿子	buzi,bz
簿最	buzui,bz
