分类学	fenleixue,flx
分类帐	fenleizhang,flz
分厘	fenli,fl
分厘毫丝	fenlihaosi,flhs
分厘卡	fenlika,flk
分剓	fenli,fl
分离	fenli,fl
分离地	fenlide,fld
分离分子	fenlizi,flz
分离器	fenliqi,flq
分离主义	fenlizhuyi,flzy
分理	fenli,fl
分理处	fenlichu,flc
分力	fenli,fl
分立	fenli,fl
分利	fenli,fl
分例	fenli,fl
分隶	fenli,fl
分两	fenliang,fl
分量	fenliang,fl
分列	fenlie,fl
分列式	fenlieshi,fls
分裂	fenlie,fl
分裂情感性障碍	fenlieqingganxingzhangai,flqgxza
分裂生殖	fenlieshengzhi,flsz
分裂主义	fenliezhuyi,flzy
分裂组织	fenliezuzhi,flzz
分岭	fenling,fl
分领	fenling,fl
分另	fenling,fl
分流	fenliu,fl
分流电路	fenliudianlu,fldl
分流电阻	fenliudianzu,fldz
分馏	fenliu,fl
分龙	fenlong,fl
分龙兵	fenlongbing,flb
分龙节	fenlongjie,flj
分龙日	fenlongri,flr
分龙雨	fenlongyu,fly
分录	fenlu,fl
分鹿	fenlu,fl
分路	fenlu,fl
分路扬镳	fenluyangbiao,flyb
分率	fenlu,fl
分鸾	fenluan,fl
分茅	fenmao,fm
分茅赐土	fenmaocitu,fmct
分茅列土	fenmaolietu,fmlt
分茅裂土	fenmaolietu,fmlt
分茅岭	fenmaoling,fml
分茅锡土	fenmaoxitu,fmxt
分茅胙土	fenmaozuotu,fmzt
分袂	fenmei,fm
分门别户	fenmenbiehu,fmbh
分门别类	fenmenbielei,fmbl
分门书	fenmenshu,fms
分米	fenmi,fm
分泌	fenmi,fm
分泌颗粒	fenmikeli,fmkl
分泌物	fenmiwu,fmw
分蜜	fenmi,fm
分娩	fenmian,fm
分杪	fenmiao,fm
分秒	fenmiao,fm
分秒必争	fenmiaobizheng,fmbz
分民	fenmin,fm
分明	fenming,fm
分命	fenming,fm
分母	fenmu,fm
分母有理化	fenmuyoulihua,fmylh
分内	fennei,fn
分内之事	fenneizhishi,fnzs
分泥	fenni,fn
分年	fennian,fn
分蘖	fennie,fn
分派	fenpai,fp
分判	fenpan,fp
分配	fenpei,fp
分配律	fenpeilu,fpl
分配器	fenpeiqi,fpq
分朋	fenpeng,fp
分朋引类	fenpengyinlei,fpyl
分批	fenpi,fp
分批地	fenpide,fpd
分披	fenpi,fp
分片	fenpian,fp
分片包干	fenpianbaogan,fpbg
分撇	fenpie,fp
分贫振穷	fenpinzhenqiong,fpzq
分频	fenpin,fp
分破	fenpo,fp
分剖	fenpou,fp
分期	fenqi,fq
分期分批	fenqipi,fqp
分期付款	fenqifukuan,fqfk
分齐	fenqi,fq
分岐	fenqi,fq
分歧	fenqi,fq
分歧点	fenqidian,fqd
分气	fenqi,fq
分契	fenqi,fq
分器	fenqi,fq
分钱	fenqian,fq
分遣	fenqian,fq
分强	fenqiang,fq
分亲	fenqin,fq
分清	fenqing,fq
分情	fenqing,fq
分情破爱	fenqingpoai,fqpa
分区	fenqu,fq
分袪	fenqu,fq
分取	fenqu,fq
分权	fenquan,fq
分权制衡	fenquanzhiheng,fqzh
分群	fenqun,fq
分然	fenran,fr
分让	fenrang,fr
分扰	fenrao,fr
分任	fenren,fr
分日	fenri,fr
分润	fenrun,fr
分塞	fensai,fs
分三别两	fensanbieliang,fsbl
分散	fensan,fs
分散地	fensande,fsd
分散的策略	fensandecelue,fsdcl
分散和弦	fensanhexian,fshx
分散染料	fensanranliao,fsrl
分散式	fensanshi,fss
分散系	fensanxi,fsx
分散指挥	fensanzhihui,fszh
分散主义	fensanzhuyi,fszy
分色	fense,fs
分色镜头	fensejingtou,fsjt
分沙	fensha,fs
分陕	fenshan,fs
分设	fenshe,fs
分社	fenshe,fs
分身	fenshen,fs
分身乏术	fenshenfashu,fsfs
分身法	fenshenfa,fsf
分身减口	fenshenjiankou,fsjk
分身将	fenshenjiang,fsj
分身术	fenshenshu,fss
分身无术	fenshenwushu,fsws
分神	fenshen,fs
分升	fensheng,fs
分生组织	fenshengzuzhi,fszz
分省	fensheng,fs
分尸	fenshi,fs
分施	fenshi,fs
分时	fenshi,fs
分时多工	fenshiduogong,fsdg
分时计算机	fenshijisuan,fsjs
分式	fenshi,fs
分式方程	fenshifangcheng,fsfc
分事	fenshi,fs
分势	fenshi,fs
分视	fenshi,fs
分释	fenshi,fs
分手	fenshou,fs
分手代理	fenshoudaili,fsdl
分守	fenshou,fs
分守要津	fenshouyaojin,fsyj
分首	fenshou,fs
分售	fenshou,fs
分书	fenshu,fs
分殊	fenshu,fs
分疎	fenshu,fs
分疏	fenshu,fs
分熟	fenshu,fs
分属	fenshu,fs
分述	fenshu,fs
分数	fenshu,fs
分数挂帅	fenshuguashuai,fsgs
分数线	fenshuxian,fsx
分水	fenshui,fs
分水岭	fenshuiling,fsl
分水线	fenshuixian,fsx
分水闸	fenshuizha,fsz
分税制	fenshuizhi,fsz
分说	fenshuo,fs
分丝析缕	fensixilu,fsxl
分司	fensi,fs
分死	fensi,fs
分似	fensi,fs
分送	fensong,fs
分诉	fensu,fs
分素	fensu,fs
分岁	fensui,fs
分碎	fensui,fs
分损	fensun,fs
分所	fensuo,fs
分索	fensuo,fs
分摊	fentan,ft
分桃	fentao,ft
分题	fenti,ft
分体	fenti,ft
分田	fentian,ft
分条析理	fentiaoxili,ftxl
分庭	fenting,ft
分庭伉礼	fentingkangli,ftkl
分庭抗礼	fentingkangli,ftkl
分铜	fentong,ft
分统	fentong,ft
分痛	fentong,ft
分头	fentou,ft
分头路	fentoulu,ftl
分涂	fentu,ft
分途	fentu,ft
分土	fentu,ft
分屯	fentun,ft
分瓦	fenwa,fw
分外	fenwai,fw
分外明白	fenwaimingbai,fwmb
分外眼红	fenwaiyanhong,fwyh
分外眼明	fenwaiyanming,fwym
分外眼睁	fenwaiyanzheng,fwyz
分外妖娆	fenwaiyaorao,fwyr
分外之物	fenwaizhiwu,fwzw
分望	fenwang,fw
分威	fenwei,fw
分违	fenwei,fw
分委	fenwei,fw
分卫	fenwei,fw
分为	fenwei,fw
分位	fenwei,fw
分位数	fenweishu,fws
分文	fenwen,fw
分文不名	fenwenbuming,fwbm
分文不取	fenwenbuqu,fwbq
分文不直	fenwenbuzhi,fwbz
分文不值	fenwenbuzhi,fwbz
分文未取	fenwenweiqu,fwwq
分我杯羹	fenwobeigeng,fwbg
分务	fenwu,fw
分物	fenwu,fw
分析	fenxi,fx
分析处理	fenxichuli,fxcl
分析法	fenxifa,fxf
分析化学	fenxihuaxue,fxhx
分析家	fenxijia,fxj
分析器	fenxiqi,fxq
分析人士	fenxirenshi,fxrs
分析师	fenxishi,fxs
分析天平	fenxitianping,fxtp
分析心理学	fenxixinlixue,fxxlx
分析学	fenxixue,fxx
分析研究	fenxiyanjiu,fxyj
分析与综合	fenxiyuzonghe,fxyzh
分析语	fenxiyu,fxy
分析员	fenxiyuan,fxy
分晰	fenxi,fx
分系	fenxi,fx
分系统	fenxitong,fxt
分细	fenxi,fx
分弦	fenxian,fx
分限	fenxian,fx
分献	fenxian,fx
分相	fenxiang,fx
分香	fenxiang,fx
分香卖履	fenxiangmailu,fxml
分详	fenxiang,fx
分享	fenxiang,fx
分项	fenxiang,fx
分宵	fenxiao,fx
分宵达曙	fenxiaodashu,fxds
分销	fenxiao,fx
分销店	fenxiaodian,fxd
分销商	fenxiaoshang,fxs
分销网络	fenxiaowangluo,fxwl
分晓	fenxiao,fx
分校	fenxiao,fx
分携	fenxie,fx
分鞋破镜	fenxiepojing,fxpj
分心	fenxin,fx
分心挂腹	fenxinguafu,fxgf
分星	fenxing,fx
分星掰两	fenxingbailiang,fxbl
分星拨两	fenxingboliang,fxbl
分星擘两	fenxingboliang,fxbl
分星劈两	fenxingpiliang,fxpl
分腥	fenxing,fx
分行	fenhang,fh
分行布白	fenhangbubai,fhbb
分形	fenxing,fx
分形共气	fenxinggongqi,fxgq
分形几何	fenxingjihe,fxjh
分形几何学	fenxingjihexue,fxjhx
分形连气	fenxinglianqi,fxlq
分形同气	fenxingtongqi,fxtq
分虚伪地	fenxuweide,fxwd
分许	fenxu,fx
分叙	fenxu,fx
分削	fenxue,fx
分雪	fenxue,fx
分巡	fenxun,fx
分巡兵备道	fenxunbingbeidao,fxbbd
分巡道	fenxundao,fxd
分压电阻	fenyadianzu,fydz
分烟	fenyan,fy
分烟析产	fenyanxichan,fyxc
分烟析生	fenyanxisheng,fyxs
分颜	fenyan,fy
分秧	fenyang,fy
分野	fenye,fy
分业	fenye,fy
分页	fenye,fy
分页符	fenyefu,fyf
分夜	fenye,fy
分夜钟	fenyezhong,fyz
分液漏斗	fenyeloudou,fyld
分一杯羹	fenyibeigeng,fybg
分宜	fenyi,fy
分宜县	fenyixian,fyx
分移	fenyi,fy
