屎虼蜋	shigelang,sgl
屎滚尿流	shigunniaoliu,sgnl
屎蚵蜋	shikelang,skl
屎蚵螂	shikelang,skl
屎橛	shijue,sj
屎橛子	shijuezi,sjz
屎壳郎	shikelang,skl
屎流屁滚	shiliupigun,slpg
屎溺	shini,sn
屎尿	shiniao,sn
屎盆儿	shipener,spe
屎盆子	shipenzi,spz
屎屁直流	shipizhiliu,spzl
屎棋	shiqi,sq
屎蜣螂	shiqianglang,sql
屎诗	shi,s
屎桶	shitong,st
屎头巾	shitoujin,stj
