略不世出	luebushichu,lbsc
略陈	luechen,lc
略称	luecheng,lc
略城	luecheng,lc
略传	luechuan,lc
略绰	luechuo,lc
略绰口	luechuokou,lck
略带	luedai,ld
略地	luedi,ld
略等	luedeng,ld
略定	lueding,ld
略读	luedu,ld
略夺	lueduo,ld
略高一筹	luegaoyichou,lgyc
略过	lueguo,lg
略获	luehuo,lh
略及	lueji,lj
略计	lueji,lj
略迹论心	luejilunxin,ljlx
略迹原情	luejiyuanqing,ljyq
略迹原心	luejiyuanxin,ljyx
略见一斑	luejianyiban,ljyb
略节	luejie,lj
略尽	luejin,lj
略举	lueju,lj
略玃	luejue,lj
略窥一班	luekuiyiban,lkyb
略窥一斑	luekuiyiban,lkyb
略历	lueli,ll
略略	lue,l
略码	luema,lm
略卖	luemai,lm
略且	lueqie,lq
略寝	lueqin,lq
略情	lueqing,lq
略取	luequ,lq
略去	luequ,lq
略人	lueren,lr
略刃	lueren,lr
略胜一筹	lueshengyichou,lsyc
略识之无	lueshizhiwu,lszw
略事	lueshi,ls
略释	lueshi,ls
略属	lueshu,ls
略术	lueshu,ls
略通	luetong,lt
略同	luetong,lt
略图	luetu,lt
略微	luewei,lw
略微地	lueweide,lwd
略为	luewei,lw
略无	luewu,lw
略无忌惮	luewujidan,lwjd
略物	luewu,lw
略洗	luexi,lx
略斜	luexie,lx
略行	luexing,lx
略逊一筹	luexunyichou,lxyc
略阳	lueyang,ly
略阳县	lueyangxian,lyx
略要	lueyao,ly
略野	lueye,ly
略意	lueyi,ly
略有	lueyou,ly
略诱	lueyou,ly
略语	lueyu,ly
略约	lueyue,ly
略则	lueze,lz
略阵	luezhen,lz
略知皮毛	luezhipimao,lzpm
略知一二	luezhiyier,lzye
略彴	luezhuo,lz
略字	luezi,lz
略作	luezuo,lz
