谭柄	tanbing,tb
谭盾	tandun,td
谭富英	tanfuying,tfy
谭笺	tanjian,tj
谭空	tankong,tk
谭论	tanlun,tl
谭说	tanshuo,ts
谭思	tansi,ts
谭嗣同	tansitong,tst
谭谭	tan,t
谭天说地	tantianshuodi,ttsd
谭吐	tantu,tt
谭腿	tantui,tt
谭笑	tanxiao,tx
谭鑫培	tanxinpei,txp
谭延	tanyan,ty
谭言微中	tanyanweizhong,tywz
谭宴	tanyan,ty
谭燕	tanyan,ty
谭艺	tanyi,ty
谭咏麟	tanyonglin,tyl
谭震林	tanzhenlin,tzl
谭助	tanzhu,tz
