圭碑	guibei,gb
圭币	guibi,gb
圭荜	guibi,gb
圭筚	guibi,gb
圭璧	guibi,gb
圭表	guibiao,gb
圭尺	guichi,gc
圭撮	guicuo,gc
圭玷	guidian,gd
圭窦	guidou,gd
圭顿	guidun,gd
圭衮	guigun,gg
圭角	guijiao,gj
圭角岸然	guijiaoanran,gjar
圭角不露	guijiaobulu,gjbl
圭景	guijing,gj
圭律	guilu,gl
圭门	guimen,gm
圭臬	guinie,gn
圭瑞	guirui,gr
圭裳	guichang,gc
圭勺	guishao,gs
圭石	guishi,gs
圭首	guishou,gs
圭田	guitian,gt
圭头	guitou,gt
圭亚那	guiyana,gyn
圭影	guiying,gy
圭窬	guiyu,gy
圭瓒	guizan,gz
圭璋	guizhang,gz
圭璋特达	guizhangteda,gztd
圭组	guizu,gz
