扛把子	kangbazi,kbz
扛半拉活	kangbanlahuo,kblh
扛半拉子活	kangbanlazihuo,kblzh
扛帮	kangbang,kb
扛大个儿	kangdageer,kdge
扛大活	kangdahuo,kdh
扛大梁	kangdaliang,kdl
扛得住	kangdezhu,kdz
扛鼎	gangding,gd
扛鼎拔山	gangdingbashan,gdbs
扛鼎抃牛	gangdingbianniu,gdbn
扛荷	kanghe,kh
扛哄	kanghong,kh
扛活	kanghuo,kh
扛醵	kangju,kj
扛丧	kangsang,ks
扛抬	kangtai,kt
扛舁	kangyu,ky
扛长工	kangchanggong,kcg
扛整活	kangzhenghuo,kzh
