般般	ban,b
般般件件	banjian,bj
般比	banbi,bb
般剥	banbao,bb
般礴	banbo,bb
般缠	panchan,pc
般肠	banchang,bc
般倕	banchui,bc
般担	bandan,bd
般当	bandang,bd
般地	bande,bd
般调	bandiao,bd
般尔	baner,be
般费	panfei,pf
般伏	panfu,pf
般庚	bangeng,bg
般关	banguan,bg
般还	panhai,ph
般桓	panhuan,ph
般姜鼠	banjiangshu,bjs
般匠	banjiang,bj
般斤	banjin,bj
般爵	banjue,bj
般乐	panle,pl
般量	panliang,pl
般泥洹	bannihuan,bnh
般湼盘	banniepan,bnp
般弄	bannong,bn
般配	banpei,bp
般辟	panpi,pp
般雀比拉多	banquebiladuo,bqbld
般若	bore,br
般若波罗密	boreluomi,brlm
般若波罗密多心经	boreluomiduoxinjing,brlmdxj
般若汤	boretang,brt
般跚	banshan,bs
般师	banshi,bs
般首	banshou,bs
般输	banshu,bs
般旋	banxuan,bx
般演	banyan,by
般逸	panyi,py
般游	panyou,py
般运	banyun,by
