下爱	xiaai,xa
下巴	xiaba,xb
下巴颏	xiabake,xbk
下巴颏儿	xiabakeer,xbke
下吧	xiaba,xb
下摆	xiabai,xb
下拜	xiabai,xb
下班	xiaban,xb
下般	xiaban,xb
下阪走丸	xiabanzouwan,xbzw
下坂丸	xiabanwan,xbw
下坂走丸	xiabanzouwan,xbzw
下半	xiaban,xb
下半场	xiabanchang,xbc
下半截	xiabanjie,xbj
下半年	xiabannian,xbn
下半旗	xiabanqi,xbq
下半晌	xiabanshang,xbs
下半身	xiabanshen,xbs
下半时	xiabanshi,xbs
下半世	xiabanshi,xbs
下半天	xiabantian,xbt
下半夜	xiabanye,xby
下半月	xiabanyue,xby
下保	xiabao,xb
下辈	xiabei,xb
下辈子	xiabeizi,xbz
下贲	xiaben,xb
下本	xiaben,xb
下本儿	xiabener,xbe
下本钱	xiabenqian,xbq
下鼻甲	xiabijia,xbj
下比	xiabi,xb
下比有余	xiabiyouyu,xbyy
下笔	xiabi,xb
下笔成篇	xiabichengpian,xbcp
下笔成文	xiabichengwen,xbcw
下笔成章	xiabichengzhang,xbcz
下笔千言	xiabiqianyan,xbqy
下笔如神	xiabirushen,xbrs
下笔有神	xiabiyoushen,xbys
下币	xiabi,xb
下必从之	xiabicongzhi,xbcz
下边	xiabian,xb
下边儿	xiabianer,xbe
下标	xiabiao,xb
下拨	xiabo,xb
下蕃	xiafan,xf
下晡	xiabu,xb
下哺	xiabu,xb
下不来	xiabulai,xbl
下不来台	xiabulaitai,xblt
下不了台	xiabuliaotai,xblt
下不去	xiabuqu,xbq
下不为例	xiabuweili,xbwl
下不下	xiabu,xb
下不着地	xiabuzhaodi,xbzd
下部	xiabu,xb
下餔	xiabu,xb
下才	xiacai,xc
下材	xiacai,xc
下财礼	xiacaili,xcl
下采	xiacai,xc
下蔡	xiacai,xc
下参差	xiacenci,xcc
下餐	xiacan,xc
下操	xiacao,xc
下策	xiace,xc
下层	xiaceng,xc
下层林	xiacenglin,xcl
下层社会	xiacengshehui,xcsh
下插定	xiachading,xcd
下茶	xiacha,xc
下场	xiachang,xc
下场门	xiachangmen,xcm
下场诗	xiachangshi,xcs
下场头	xiachangtou,xct
下车	xiache,xc
下车泣罪	xiacheqizui,xcqz
下车伊始	xiacheyishi,xcys
下车之始	xiachezhishi,xczs
下车作威	xiachezuowei,xczw
下尘	xiachen,xc
下臣	xiachen,xc
下忱	xiachen,xc
下沉	xiachen,xc
下沉市场	xiachenshichang,xcsc
下陈	xiachen,xc
下衬	xiachen,xc
下城区	xiachengqu,xcq
下乘	xiasheng,xs
下程	xiacheng,xc
下齿	xiachi,xc
下舂	xiachong,xc
下厨	xiachu,xc
下处	xiachu,xc
下船	xiachuan,xc
下串	xiachuan,xc
下床	xiachuang,xc
下垂	xiachui,xc
下唇	xiachun,xc
下辞	xiaci,xc
下次	xiaci,xc
下次孩儿	xiacihaier,xche
下次人等	xiacirendeng,xcrd
