回鞍	huian,ha
回跋	huiba,hb
回靶	huiba,hb
回拜	huibai,hb
回薄	huibao,hb
回报	huibao,hb
回抱	huibao,hb
回背	huibei,hb
回跸	huibi,hb
回避	huibi,hb
回变	huibian,hb
回猋	huibiao,hb
回飙	huibiao,hb
回颷	huibiao,hb
回镳	huibiao,hb
回禀	huibing,hb
回波	huibo,hb
回波词	huiboci,hbc
回波乐	huibole,hbl
回波舞	huibowu,hbw
回驳	huibo,hb
回脖	huibo,hb
回部	huibu,hb
回采	huicai,hc
回残	huican,hc
回茬	huicha,hc
回肠	huichang,hc
回肠百转	huichangbaizhuan,hcbz
回肠寸断	huichangcunduan,hccd
回肠荡气	huichangdangqi,hcdq
回肠九转	huichangjiuzhuan,hcjz
回肠伤气	huichangshangqi,hcsq
回膓	huichang,hc
回潮	huichao,hc
回车	huiche,hc
回车符	huichefu,hcf
回车键	huichejian,hcj
回撤	huiche,hc
回嗔作喜	huichenzuoxi,hczx
回程	huicheng,hc
回池	huichi,hc
回遟	huizhi,hz
回充	huichong,hc
回冲	huichong,hc
回抽	huichou,hc
回筹转策	huichouzhuance,hczc
回处士	huichushi,hcs
回川	huichuan,hc
回船	huichuan,hc
回船转舵	huichuanzhuanduo,hczd
回舛	huichuan,hc
回春	huichun,hc
回春妙手	huichunmiaoshou,hcms
回春之术	huichunzhishu,hczs
回次	huici,hc
回赐	huici,hc
回从	huicong,hc
回窜	huicuan,hc
回沓	huita,ht
回答	huida,hd
回带	huidai,hd
回单	huidan,hd
回单儿	huidaner,hde
回弹	huitan,ht
回惮	huidan,hd
回荡	huidang,hd
回到	huidao,hd
回倒	huidao,hd
回道人	huidaoren,hdr
回德	huide,hd
回灯	huideng,hd
回蹬	huideng,hd
回磴	huideng,hd
回氐	huidi,hd
回睇	huidi,hd
回电	huidian,hd
回调函数	huidiaohanshu,hdhs
回跌	huidie,hd
回定	huiding,hd
回动地	huidongde,hdd
回堵	huidu,hd
回睹	huidu,hd
回覩	huidu,hd
回怼	huidui,hd
回夺	huiduo,hd
回恩	huien,he
回二	huier,he
回帆	huifan,hf
回帆鼓	huifangu,hfg
回帆挝	huifanwo,hfw
回颿槌	huifanchui,hfc
回颿挝	huifanwo,hfw
