绘本	huiben,hb
绘划	huihua,hh
绘画	huihua,hh
绘画般地	huihuabande,hhbd
绘画地	huihuade,hhd
绘架座	huijiazuo,hjz
绘卷	huijuan,hj
绘摹	huimo,hm
绘染	huiran,hr
绘声绘色	huishengse,hss
绘声绘形	huishengxing,hsx
绘声绘影	huishengying,hsy
绘声写影	huishengxieying,hsxy
绘事	huishi,hs
绘事后素	huishihousu,hshs
绘饰	huishi,hs
绘素	huisu,hs
绘图	huitu,ht
绘文字	huiwenzi,hwz
绘像	huixiang,hx
绘写	huixie,hx
绘绚	huixuan,hx
绘影绘声	huiyingsheng,hys
绘影图形	huiyingtuxing,hytx
绘真	huizhen,hz
绘制	huizhi,hz
