瞋波	chenbo,cb
瞋毒	chendu,cd
瞋忿	chenfen,cf
瞋怪	chenguai,cg
瞋喝	chenhe,ch
瞋恨	chenhen,ch
瞋恚	chenhui,ch
瞋沮	chenju,cj
瞋决	chenjue,cj
瞋菌	chenjun,cj
瞋詈	chenli,cl
瞋骂	chenma,cm
瞋眸	chenmou,cm
瞋目	chenmu,cm
瞋目扼腕	chenmuewan,cmew
瞋目搤腕	tianmuewan,tmew
瞋目切齿	chenmuqiechi,cmqc
瞋目竖眉	tianmushumei,tmsm
瞋目张胆	tianmuzhangdan,tmzd
瞋怒	chennu,cn
瞋怒雨	chennuyu,cny
瞋盼	chenpan,cp
瞋视	chenshi,cs
瞋蛙	chenwa,cw
瞋嫌	chenxian,cx
瞋心	chenxin,cx
