絜白	jiebai,jb
絜操	jiecao,jc
絜诚	jiecheng,jc
絜皋	jiegao,jg
絜臯	jiegao,jg
絜钩	jiegou,jg
絜己	jieji,jj
絜驾	jiejia,jj
絜静	jiejing,jj
絜矩	xieju,xj
絜廉	jielian,jl
絜令	jieling,jl
絜齐	jieqi,jq
絜清	jieqing,jq
絜情	jieqing,jq
絜身	jieshen,js
絜矢	jieshi,js
絜鲜	jiexian,jx
絜行	jiexing,jx
絜楹	jieying,jy
絜斋	jiezhai,jz
絜知	jiezhi,jz
絜粢	jiezi,jz
