吃案	chian,ca
吃霸王餐	chibawangcan,cbwc
吃白饭	chibaifan,cbf
吃白酒	chibaijiu,cbj
吃白墨饭	chibaimofan,cbmf
吃白食	chibaishi,cbs
吃白相饭	chibaixiangfan,cbxf
吃白眼	chibaiyan,cby
吃败仗	chibaizhang,cbz
吃板刀面	chibandaomian,cbdm
吃板子	chibanzi,cbz
吃饱	chibao,cb
吃饱撑着	chibaochengzhe,cbcz
吃饱蹲	chibaodun,cbd
吃饱了饭撑的	chibaolefanchengde,cblfcd
吃本	chiben,cb
吃闭门羹	chibimengeng,cbmg
吃遍天	chibiantian,cbt
吃别人嚼过的馍不香	chibierenjiaoguodemobuxiang,cbrjgdmbx
吃瘪	chibie,cb
吃播	chibo,cb
吃不到葡萄说葡萄酸	chibudaoputaoshuosuan,cbdptss
吃不得	chibude,cbd
吃不服	chibufu,cbf
吃不过	chibuguo,cbg
吃不开	chibukai,cbk
吃不克化	chibukehua,cbkh
吃不来	chibulai,cbl
吃不了	chibuliao,cbl
吃不了包着走	chibuliaobaozhezou,cblbzz
吃不了兜着走	chibuliaodouzhezou,cbldzz
吃不清	chibuqing,cbq
吃不上	chibushang,cbs
吃不透	chibutou,cbt
吃不退	chibutui,cbt
吃不完兜着走	chibuwandouzhezou,cbwdzz
吃不下	chibuxia,cbx
吃不消	chibuxiao,cbx
吃不住	chibuzhu,cbz
吃不住劲	chibuzhujin,cbzj
吃不准	chibuzhun,cbz
吃布	chibu,cb
吃菜事魔	chicaishimo,ccsm
吃草	chicao,cc
吃茶	chicha,cc
吃吃	chi,c
吃吃地	chide,cd
吃吃地笑	chidexiao,cdx
吃吃喝喝	chihe,ch
吃穿	chichuan,cc
吃穿用度	chichuanyongdu,ccyd
吃醋	chicu,cc
吃错药	chicuoyao,ccy
吃搭搭	chida,cd
吃答	chida,cd
吃大锅饭	chidaguofan,cdgf
吃大户	chidahu,cdh
吃大亏	chidakui,cdk
吃刀	chidao,cd
吃到饱	chidaobao,cdb
吃到五谷想六谷	chidaowuguxiangliu,cdwgxl
吃得光	chideguang,cdg
吃得开	chidekai,cdk
吃得来	chidelai,cdl
吃得上	chideishang,cds
吃得下	chidexia,cdx
吃得消	chidexiao,cdx
吃得住	chidezhu,cdz
吃得准	chidezhun,cdz
吃的	chide,cd
吃掉	chidiao,cd
吃跌	chidie,cd
吃钉子	chidingzi,cdz
吃定	chiding,cd
吃动	chidong,cd
吃豆豆	chidou,cd
吃豆腐	chidoufu,cdf
吃豆人	chidouren,cdr
吃独食	chidushi,cds
吃独桌	chiduzhuo,cdz
吃儿	chier,ce
吃耳光	chierguang,ceg
吃法	chifa,cf
吃饭	chifan,cf
吃饭处	chifanchu,cfc
吃饭皇帝大	chifanhuangdida,cfhdd
吃饭家伙	chifanjiahuo,cfjh
吃饭家生	chifanjiasheng,cfjs
吃飞醋	chifeicu,cfc
吃飞利	chifeili,cfl
吃肥	chifei,cf
吃肥丢瘦	chifeidiushou,cfds
吃干饭	chiganfan,cgf
吃个虱子留只脚	chigeshiziliuzhijiao,cgszlzj
吃公粮	chigongliang,cgl
吃诟	chigou,cg
吃瓜	chigua,cg
吃瓜群众	chiguaqunzhong,cgqz
吃寡醋	chiguacu,cgc
吃官事	chiguanshi,cgs
吃官司	chiguansi,cgs
吃馆子	chiguanzi,cgz
吃光	chiguang,cg
吃喝	chihe,ch
吃喝风	chihefeng,chf
吃喝拉撒睡	chihelasashui,chlss
吃喝嫖赌	chihepiaodu,chpd
吃喝玩乐	chihewanle,chwl
吃黑饭	chiheifan,chf
吃黑枣	chiheizao,chz
吃黑枣儿	chiheizaoer,chze
吃后悔药	chihouhuiyao,chhy
吃虎胆	chihudan,chd
吃花酒	chihuajiu,chj
吃花烟	chihuayan,chy
吃化	chihua,ch
吃坏	chihuai,ch
吃皇粮	chihuangliang,chl
吃灰	chihui,ch
吃回扣	chihuikou,chk
吃荤	chihun,ch
吃荤饭	chihunfan,chf
吃馄饨	chihuntun,cht
吃货	chihuo,ch
吃鸡	chiji,cj
吃虀宰相	chijizaixiang,cjzx
吃悸	chiji,cj
吃家饭撤野矢	chijiafancheyeshi,cjfcys
吃家饭屙野屎	chijiafaneyeshi,cjfeys
吃价	chijia,cj
吃监	chijian,cj
吃剑才	chijiancai,cjc
吃剑头	chijiantou,cjt
吃剑贼	chijianzei,cjz
吃讲茶	chijiangcha,cjc
吃交	chijiao,cj
吃角子老虎	chijiaozilaohu,cjzlh
吃教	chijiao,cj
吃紧	chijin,cj
吃劲	chijin,cj
吃惊	chijing,cj
吃惊地	chijingde,cjd
吃惊地发现	chijingdefaxian,cjdfx
吃惊受怕	chijingshoupa,cjsp
吃局	chiju,cj
吃具	chiju,cj
吃蹶	chijue,cj
吃开	chikai,ck
吃开口饭	chikaikoufan,ckkf
吃勘	chikan,ck
吃客	chike,ck
吃空	chikong,ck
吃空额	chikonge,cke
吃空饷	chikongxiang,ckx
吃口	chikou,ck
吃口令	chikouling,ckl
吃苦	chiku,ck
吃苦不甘	chikubugan,ckbg
吃苦耐劳	chikunailao,cknl
吃苦受累	chikushoulei,cksl
吃苦头	chikutou,ckt
吃亏	chikui,ck
吃亏上当	chikuishangdang,cksd
吃剌剌	chila,cl
吃辣面	chilamian,clm
吃癞碗	chilaiwan,clw
吃劳保	chilaobao,clb
吃劳金	chilaojin,clj
吃牢饭	chilaofan,clf
吃老本	chilaoben,clb
吃了定心丸	chiledingxinwan,cldxw
吃了老娘洗脚水	chilelaoniangxijiaoshui,cllnxjs
吃了砒霜药老虎	chilepishuangyaolaohu,clpsylh
吃累	chilei,cl
吃里扒外	chilipawai,clpw
吃里爬外	chilipawai,clpw
吃力	chili,cl
吃力不讨好	chilibutaohao,clbth
吃力地	chilide,cld
吃力地将	chilidejiang,cldj
吃力伽	chilijia,clj
吃利	chili,cl
吃栗多	chiliduo,cld
吃粮	chiliang,cl
吃粮不管事	chiliangbuguanshi,clbgs
吃量	chiliang,cl
吃凌冰粮	chilingbingliang,clbl
吃零嘴	chilingzui,clz
吃螺丝	chiluosi,cls
吃麻栗子	chimalizi,cmlz
吃马屁	chimapi,cmp
吃没	chimei,cm
吃闷	chimen,cm
吃明不吃暗	chimingbuan,cmba
吃拿卡要	chinaqiayao,cnqy
吃奶	chinai,cn
吃奶的力气	chinaideliqi,cndlq
吃奶的气力	chinaideqili,cndql
吃奶劲儿	chinaijiner,cnje
吃奶气力	chinaiqili,cnql
吃奶腔	chinaiqiang,cnq
吃奶之力	chinaizhili,cnzl
吃恼	chinao,cn
吃讷	chine,cn
吃孽	chinie,cn
吃排头	chipaitou,cpt
吃派饭	chipaifan,cpf
吃碰	chipeng,cp
吃屁	chipi,cp
吃偏饭	chipianfan,cpf
吃偏食	chipianshi,cps
