霓帱	nichou,nc
霓幢	nizhuang,nz
霓虹	nihong,nh
霓虹灯	nihongdeng,nhd
霓虹国	nihongguo,nhg
霓节	nijie,nj
霓襟	nijin,nj
霓旌	nijing,nj
霓纠	nijiu,nj
霓旄	nimao,nm
霓帔	nipei,np
霓旆	nipei,np
霓骑	niqi,nq
霓裳	nichang,nc
霓裳素	nichangsu,ncs
霓裳舞	nichangwu,ncw
霓裳羽衣	nichangyuyi,ncyy
霓裳羽衣曲	nichangyuyiqu,ncyyq
霓裳羽衣舞	nichangyuyiwu,ncyyw
霓雾	niwu,nw
霓袖	nixiu,nx
霓衣	niyi,ny
霓云	niyun,ny
